Name,Geographic Level,Income Classification (DOF DO No. 074.2024),2024 Population,Name_Normalized
City of Dipolog ,City,2nd,136528.0,dipolog
Katipunan,Mun,1st,43427.0,katipunan
La Libertad,Mun,5th,7874.0,la libertad
Labason,Mun,2nd,44615.0,labason
Liloy,Mun,2nd,41881.0,liloy
Manukan,Mun,1st,35669.0,manukan
Mutia,Mun,4th,12197.0,mutia
Piñan,Mun,3rd,19184.0,piñan
Polanco,Mun,1st,40485.0,polanco
Pres. Manuel A. Roxas,Mun,1st,38649.0,pres. manuel a. roxas
Rizal,Mun,4th,15347.0,rizal
Salug,Mun,2nd,33060.0,salug
Sergio Osmeña Sr.,Mun,1st,31187.0,sergio osmeña sr.
Siayan,Mun,1st,40937.0,siayan
Sibuco,Mun,1st,37883.0,sibuco
Sibutad,Mun,4th,18199.0,sibutad
Sindangan,Mun,1st,104514.0,sindangan
Siocon,Mun,1st,51239.0,siocon
Sirawai,Mun,2nd,39836.0,sirawai
Tampilisan,Mun,3rd,24653.0,tampilisan
Jose Dalman,Mun,3rd,27951.0,jose dalman
Gutalac,Mun,1st,37512.0,gutalac
Baliguian,Mun,1st,25585.0,baliguian
Godod,Mun,3rd,18040.0,godod
Leon T. Postigo,Mun,2nd,29535.0,leon t. postigo
Kalawit,Mun,3rd,23381.0,kalawit
Aurora,Mun,1st,52746.0,aurora
Bayog,Mun,1st,32687.0,bayog
Dimataling,Mun,3rd,33156.0,dimataling
Dinas,Mun,2nd,35409.0,dinas
Dumalinao,Mun,2nd,34188.0,dumalinao
Dumingag,Mun,1st,48495.0,dumingag
Kumalarang,Mun,2nd,30815.0,kumalarang
Labangan,Mun,2nd,45343.0,labangan
Lapuyan,Mun,2nd,28686.0,lapuyan
Mahayag,Mun,1st,48695.0,mahayag
Margosatubig,Mun,2nd,36025.0,margosatubig
Midsalip,Mun,2nd,35643.0,midsalip
Molave,Mun,1st,52540.0,molave
City of Pagadian ,City,1st,206483.0,pagadian
Ramon Magsaysay,Mun,3rd,28419.0,ramon magsaysay
San Miguel,Mun,3rd,20037.0,san miguel
San Pablo,Mun,3rd,26166.0,san pablo
Tabina,Mun,3rd,24591.0,tabina
Tambulig,Mun,2nd,37400.0,tambulig
Tukuran,Mun,2nd,42683.0,tukuran
Lakewood,Mun,3rd,23599.0,lakewood
Josefina,Mun,4th,11190.0,josefina
Pitogo,Mun,3rd,28375.0,pitogo
Sominot,Mun,4th,17247.0,sominot
Vincenzo A. Sagun,Mun,4th,22619.0,vincenzo a. sagun
Guipos,Mun,4th,22173.0,guipos
Tigbao,Mun,4th,19716.0,tigbao
Alicia,Mun,2nd,39484.0,alicia
Buug,Mun,2nd,38730.0,buug
Diplahan,Mun,1st,32423.0,diplahan
Imelda,Mun,3rd,29652.0,imelda
Ipil ,Mun,1st,96363.0,ipil
Kabasalan,Mun,1st,48366.0,kabasalan
Mabuhay,Mun,3rd,24296.0,mabuhay
Malangas,Mun,1st,33194.0,malangas
Naga,Mun,1st,42270.0,naga
Olutanga,Mun,2nd,34124.0,olutanga
Payao,Mun,2nd,33156.0,payao
Roseller Lim,Mun,1st,44735.0,roseller lim
Siay,Mun,1st,43233.0,siay
Talusan,Mun,4th,17925.0,talusan
Titay,Mun,1st,55534.0,titay
Tungawan,Mun,1st,48013.0,tungawan
City of Isabela,City,3rd,151297.0,isabela
City of Zamboanga,City,1st,1018849.0,zamboanga
Baungon,Mun,1st,39151.0,baungon
Damulog,Mun,2nd,38564.0,damulog
Dangcagan,Mun,1st,27128.0,dangcagan
Don Carlos,Mun,1st,73592.0,don carlos
Impasug-ong,Mun,1st,55901.0,impasug-ong
Kadingilan,Mun,2nd,35432.0,kadingilan
Kalilangan,Mun,1st,44108.0,kalilangan
Kibawe,Mun,1st,43491.0,kibawe
Kitaotao,Mun,1st,57364.0,kitaotao
Lantapan,Mun,1st,68777.0,lantapan
Libona,Mun,1st,51555.0,libona
City of Malaybalay ,City,1st,195046.0,malaybalay
Malitbog,Mun,1st,28666.0,malitbog
Manolo Fortich,Mun,1st,118075.0,manolo fortich
Maramag,Mun,1st,109864.0,maramag
Pangantucan,Mun,1st,60162.0,pangantucan
Quezon,Mun,1st,114521.0,quezon
San Fernando,Mun,1st,65494.0,san fernando
Sumilao,Mun,2nd,31094.0,sumilao
Talakag,Mun,1st,81932.0,talakag
City of Valencia,City,1st,223620.0,valencia
Cabanglasan,Mun,2nd,38365.0,cabanglasan
Catarman,Mun,4th,18186.0,catarman
Guinsiliban,Mun,5th,6827.0,guinsiliban
Mahinog,Mun,4th,14905.0,mahinog
Mambajao ,Mun,2nd,41782.0,mambajao
Sagay,Mun,5th,13192.0,sagay
Bacolod,Mun,3rd,24963.0,bacolod
Baloi,Mun,1st,74003.0,baloi
Baroy,Mun,4th,24763.0,baroy
Kapatagan,Mun,1st,72762.0,kapatagan
Sultan Naga Dimaporo,Mun,1st,65656.0,sultan naga dimaporo
Kauswagan,Mun,1st,25515.0,kauswagan
Kolambugan,Mun,3rd,28545.0,kolambugan
Lala,Mun,1st,75015.0,lala
Linamon,Mun,4th,21385.0,linamon
Magsaysay,Mun,3rd,20581.0,magsaysay
Maigo,Mun,3rd,23400.0,maigo
Matungao,Mun,4th,16404.0,matungao
Munai,Mun,2nd,36449.0,munai
Nunungan,Mun,1st,19036.0,nunungan
Pantao Ragat,Mun,3rd,32557.0,pantao ragat
Poona Piagapo,Mun,2nd,30666.0,poona piagapo
Salvador,Mun,3rd,34053.0,salvador
Sapad,Mun,4th,24826.0,sapad
Tagoloan,Mun,4th,16204.0,tagoloan
Tangcal,Mun,4th,17247.0,tangcal
Tubod ,Mun,1st,50395.0,tubod
Pantar,Mun,4th,27300.0,pantar
Aloran,Mun,3rd,28095.0,aloran
Baliangao,Mun,4th,18500.0,baliangao
Bonifacio,Mun,2nd,34942.0,bonifacio
Calamba,Mun,3rd,23808.0,calamba
Clarin,Mun,2nd,39867.0,clarin
Concepcion,Mun,5th,6608.0,concepcion
Jimenez,Mun,2nd,29265.0,jimenez
Lopez Jaena,Mun,3rd,25806.0,lopez jaena
City of Oroquieta ,City,3rd,71373.0,oroquieta
City of Ozamiz,City,2nd,143620.0,ozamiz
Panaon,Mun,4th,10891.0,panaon
Plaridel,Mun,1st,40321.0,plaridel
Sapang Dalaga,Mun,4th,21006.0,sapang dalaga
Sinacaban,Mun,4th,20176.0,sinacaban
City of Tangub,City,3rd,68419.0,tangub
Tudela,Mun,3rd,29082.0,tudela
Don Victoriano Chiongbian,Mun,3rd,10214.0,don victoriano chiongbian
Alubijid,Mun,1st,35411.0,alubijid
Balingasag,Mun,1st,76877.0,balingasag
Balingoan,Mun,4th,11896.0,balingoan
Binuangan,Mun,5th,8293.0,binuangan
Claveria,Mun,1st,52718.0,claveria
City of El Salvador,City,4th,62126.0,el salvador
City of Gingoog,City,1st,138895.0,gingoog
Gitagum,Mun,2nd,19269.0,gitagum
Initao,Mun,1st,34445.0,initao
Jasaan,Mun,1st,58098.0,jasaan
Kinoguitan,Mun,4th,15763.0,kinoguitan
Lagonglong,Mun,4th,25072.0,lagonglong
Laguindingan,Mun,2nd,27688.0,laguindingan
Libertad,Mun,4th,13461.0,libertad
Lugait,Mun,3rd*,20946.0,lugait
Magsaysay,Mun,2nd,37084.0,magsaysay
Manticao,Mun,2nd,30968.0,manticao
Medina,Mun,2nd,36692.0,medina
Naawan,Mun,3rd,23562.0,naawan
Opol,Mun,1st,66836.0,opol
Salay,Mun,2nd,31128.0,salay
Sugbongcogon,Mun,5th,11156.0,sugbongcogon
Tagoloan,Mun,1st,80424.0,tagoloan
Talisayan,Mun,3rd,26801.0,talisayan
Villanueva,Mun,1st,42456.0,villanueva
City of Cagayan De Oro ,City,1st,741617.0,cagayan de oro
City of Iligan,City,1st,368132.0,iligan
Asuncion,Mun,1st,62929.0,asuncion
Carmen,Mun,1st,85423.0,carmen
Kapalong,Mun,1st,80731.0,kapalong
New Corella,Mun,1st,60454.0,new corella
City of Panabo,City,1st,211242.0,panabo
Island Garden City of Samal,City,2nd,119701.0,island garden samal
Santo Tomas,Mun,1st,131100.0,santo tomas
City of Tagum ,City,1st,300042.0,tagum
Talaingod,Mun,1st,28665.0,talaingod
Braulio E. Dujali,Mun,3rd,36092.0,braulio e. dujali
San Isidro,Mun,3rd,27552.0,san isidro
Bansalan,Mun,1st,64816.0,bansalan
City of Digos ,City,1st,192063.0,digos
Hagonoy,Mun,1st,58689.0,hagonoy
Kiblawan,Mun,1st,53757.0,kiblawan
Magsaysay,Mun,1st,57936.0,magsaysay
Malalag,Mun,1st,40280.0,malalag
Matanao,Mun,1st,62773.0,matanao
Padada,Mun,2nd,29888.0,padada
Santa Cruz,Mun,1st,104793.0,santa cruz
Sulop,Mun,2nd,40134.0,sulop
Baganga,Mun,1st,59796.0,baganga
Banaybanay,Mun,1st,46231.0,banaybanay
Boston,Mun,2nd,15074.0,boston
Caraga,Mun,1st,39630.0,caraga
Cateel,Mun,1st,45623.0,cateel
Governor Generoso,Mun,1st,63695.0,governor generoso
Lupon,Mun,1st,68717.0,lupon
Manay,Mun,1st,39271.0,manay
City of Mati ,City,1st,148672.0,mati
San Isidro,Mun,2nd,35984.0,san isidro
Tarragona,Mun,2nd,27349.0,tarragona
Compostela,Mun,1st,89224.0,compostela
Laak,Mun,1st,83632.0,laak
Mabini,Mun,1st,43971.0,mabini
Maco,Mun,1st,87680.0,maco
Maragusan,Mun,1st,67759.0,maragusan
Mawab,Mun,1st,41050.0,mawab
Monkayo,Mun,1st,96405.0,monkayo
Montevista,Mun,1st,46581.0,montevista
Nabunturan ,Mun,1st,85949.0,nabunturan
New Bataan,Mun,1st,50212.0,new bataan
Pantukan,Mun,1st,91312.0,pantukan
Don Marcelino,Mun,1st,45681.0,don marcelino
Jose Abad Santos,Mun,1st,72552.0,jose abad santos
Malita ,Mun,1st,118438.0,malita
Santa Maria,Mun,1st,58886.0,santa maria
Sarangani,Mun,4th,22041.0,sarangani
City of Davao,City,1st,1848947.0,davao
Alamada,Mun,1st,71523.0,alamada
Carmen,Mun,1st,79741.0,carmen
Kabacan,Mun,1st,77945.0,kabacan
City of Kidapawan ,City,1st,160864.0,kidapawan
Libungan,Mun,1st,57776.0,libungan
Magpet,Mun,1st,55255.0,magpet
Makilala,Mun,1st,88522.0,makilala
Matalam,Mun,1st,81610.0,matalam
Midsayap,Mun,1st,115735.0,midsayap
M'Lang,Mun,1st,98646.0,m'lang
Pigkawayan,Mun,1st,53593.0,pigkawayan
Pikit,Mun,1st,67220.0,pikit
President Roxas,Mun,1st,51245.0,president roxas
Tulunan,Mun,1st,61901.0,tulunan
Antipas,Mun,1st,26946.0,antipas
Banisilan,Mun,1st,48013.0,banisilan
Aleosan,Mun,1st,38023.0,aleosan
Arakan,Mun,1st,51584.0,arakan
Banga,Mun,1st,91536.0,banga
City of Koronadal ,City,1st,201844.0,koronadal
Norala,Mun,2nd,48499.0,norala
Polomolok,Mun,1st,176671.0,polomolok
Surallah,Mun,1st,91412.0,surallah
Tampakan,Mun,1st,42304.0,tampakan
Tantangan,Mun,2nd,48570.0,tantangan
T'Boli,Mun,1st,105296.0,t'boli
Tupi,Mun,1st,78599.0,tupi
Santo Niño,Mun,2nd,41026.0,santo niño
Lake Sebu,Mun,1st,84252.0,lake sebu
Bagumbayan,Mun,1st,69830.0,bagumbayan
Columbio,Mun,1st,33337.0,columbio
Esperanza,Mun,1st,73822.0,esperanza
Isulan ,Mun,1st,101455.0,isulan
Kalamansig,Mun,1st,52257.0,kalamansig
Lebak,Mun,1st,93312.0,lebak
Lutayan,Mun,1st,65425.0,lutayan
Lambayong,Mun,1st,81288.0,lambayong
Palimbang,Mun,1st,83633.0,palimbang
President Quirino,Mun,2nd,44344.0,president quirino
City of Tacurong,City,3rd,116945.0,tacurong
Sen. Ninoy Aquino,Mun,1st,48003.0,sen. ninoy aquino
Alabel ,Mun,1st,90120.0,alabel
Glan,Mun,1st,117017.0,glan
Kiamba,Mun,1st,68745.0,kiamba
Maasim,Mun,1st,67907.0,maasim
Maitum,Mun,1st,46120.0,maitum
Malapatan,Mun,1st,82577.0,malapatan
Malungon,Mun,1st,108429.0,malungon
City of General Santos,City,1st,722059.0,general santos
Buenavista,Mun,1st,70691.0,buenavista
City of Cabadbaran,City,3rd,82343.0,cabadbaran
Carmen,Mun,3rd,23304.0,carmen
Jabonga,Mun,2nd,25937.0,jabonga
Kitcharao,Mun,3rd,22671.0,kitcharao
Las Nieves,Mun,1st,32402.0,las nieves
Magallanes,Mun,4th,22780.0,magallanes
Nasipit,Mun,1st,46382.0,nasipit
Santiago,Mun,1st,33877.0,santiago
Tubay,Mun,1st,26463.0,tubay
Remedios T. Romualdez,Mun,4th,17250.0,remedios t. romualdez
City of Bayugan,City,1st,110313.0,bayugan
Bunawan,Mun,1st,50999.0,bunawan
Esperanza,Mun,1st,59065.0,esperanza
La Paz,Mun,1st,29096.0,la paz
Loreto,Mun,1st,43761.0,loreto
Prosperidad ,Mun,1st,90162.0,prosperidad
Rosario,Mun,1st,51207.0,rosario
San Francisco,Mun,1st,79718.0,san francisco
San Luis,Mun,1st,36264.0,san luis
Santa Josefa,Mun,1st,24667.0,santa josefa
Talacogon,Mun,1st,37744.0,talacogon
Trento,Mun,1st,51179.0,trento
Veruela,Mun,1st,43085.0,veruela
Sibagat,Mun,1st,33271.0,sibagat
Alegria,Mun,4th,17846.0,alegria
Bacuag,Mun,4th,17076.0,bacuag
Burgos,Mun,5th,4399.0,burgos
Claver,Mun,1st,39882.0,claver
Dapa,Mun,2nd,31392.0,dapa
Del Carmen,Mun,3rd,20786.0,del carmen
General Luna,Mun,3rd,25208.0,general luna
Gigaquit,Mun,3rd,22949.0,gigaquit
Mainit,Mun,3rd,29205.0,mainit
Malimono,Mun,4th,19442.0,malimono
Pilar,Mun,4th,11135.0,pilar
Placer,Mun,3rd,30442.0,placer
San Benito,Mun,5th,5880.0,san benito
San Francisco,Mun,4th,16004.0,san francisco
San Isidro,Mun,5th,8813.0,san isidro
Santa Monica,Mun,5th,9757.0,santa monica
Sison,Mun,4th,14826.0,sison
Socorro,Mun,3rd,28436.0,socorro
City of Surigao ,City,2nd,177333.0,surigao
Tagana-An,Mun,3rd,18158.0,tagana-an
Tubod,Mun,4th,16675.0,tubod
Barobo,Mun,1st,53729.0,barobo
Bayabas,Mun,4th,9016.0,bayabas
City of Bislig,City,2nd,99872.0,bislig
Cagwait,Mun,2nd,22305.0,cagwait
Cantilan,Mun,1st,34233.0,cantilan
Carmen,Mun,4th,11859.0,carmen
Carrascal,Mun,1st,25672.0,carrascal
Cortes,Mun,4th,18023.0,cortes
Hinatuan,Mun,1st,44475.0,hinatuan
Lanuza,Mun,3rd,13750.0,lanuza
Lianga,Mun,2nd,34213.0,lianga
Lingig,Mun,1st,35203.0,lingig
Madrid,Mun,3rd,16872.0,madrid
Marihatag,Mun,2nd,19730.0,marihatag
San Agustin,Mun,2nd,23612.0,san agustin
San Miguel,Mun,1st,41942.0,san miguel
Tagbina,Mun,1st,41157.0,tagbina
Tago,Mun,1st,40097.0,tago
City of Tandag ,City,3rd,63098.0,tandag
Basilisa,Mun,3rd,27238.0,basilisa
Cagdianao,Mun,1st,18679.0,cagdianao
Dinagat,Mun,4th,10820.0,dinagat
Libjo,Mun,3rd,18157.0,libjo
Loreto,Mun,2nd,9940.0,loreto
San Jose ,Mun,4th,26735.0,san jose
Tubajon,Mun,4th,8964.0,tubajon
City of Butuan ,City,1st,385530.0,butuan
City of Lamitan ,City,3rd,116652.0,lamitan
Lantawan,Mun,2nd,48777.0,lantawan
Maluso,Mun,2nd,66817.0,maluso
Sumisip,Mun,1st,55778.0,sumisip
Tipo-Tipo,Mun,4th*,32734.0,tipo-tipo
Tuburan,Mun,2nd,30027.0,tuburan
Akbar,Mun,4th,27911.0,akbar
Al-Barka,Mun,4th,30318.0,al-barka
Hadji Mohammad Ajul,Mun,4th,32806.0,hadji mohammad ajul
Ungkaya Pukan,Mun,4th,31041.0,ungkaya pukan
Hadji Muhtamad,Mun,5th,30122.0,hadji muhtamad
Tabuan-Lasa,Mun,4th,38964.0,tabuan-lasa
Bacolod-Kalawi,Mun,1st,24381.0,bacolod-kalawi
Balabagan,Mun,2nd,31227.0,balabagan
Balindong,Mun,2nd,40047.0,balindong
Bayang,Mun,3rd,30227.0,bayang
Binidayan,Mun,3rd,27031.0,binidayan
Bubong,Mun,1st,28733.0,bubong
Butig,Mun,2nd,25394.0,butig
Ganassi,Mun,2nd,33897.0,ganassi
Kapai,Mun,2nd,21630.0,kapai
Lumba-Bayabao,Mun,1st,50959.0,lumba-bayabao
Lumbatan,Mun,4th,24988.0,lumbatan
Madalum,Mun,1st,30044.0,madalum
Madamba,Mun,3rd,24886.0,madamba
Malabang,Mun,1st,58377.0,malabang
Marantao,Mun,1st,46233.0,marantao
City of Marawi ,City,3rd,259993.0,marawi
Masiu,Mun,3rd,36803.0,masiu
Mulondo,Mun,2nd,23159.0,mulondo
Pagayawan,Mun,3rd,15659.0,pagayawan
Piagapo,Mun,2nd,40558.0,piagapo
Poona Bayabao,Mun,2nd,33307.0,poona bayabao
Pualas,Mun,3rd,18020.0,pualas
Ditsaan-Ramain,Mun,2nd,26918.0,ditsaan-ramain
Saguiaran,Mun,3rd,28807.0,saguiaran
Tamparan,Mun,3rd,37190.0,tamparan
Taraka,Mun,2nd,29558.0,taraka
Tubaran,Mun,2nd,17567.0,tubaran
Tugaya,Mun,3rd,26283.0,tugaya
Wao,Mun,1st,51081.0,wao
Marogong,Mun,2nd,33595.0,marogong
Calanogas,Mun,4th,17585.0,calanogas
Buadiposo-Buntong,Mun,3rd,23283.0,buadiposo-buntong
Maguing,Mun,1st,37292.0,maguing
Picong,Mun,3rd,19296.0,picong
Lumbayanague,Mun,3rd,21469.0,lumbayanague
Amai Manabilang,Mun,1st,14837.0,amai manabilang
Tagoloan II,Mun,3rd,12843.0,tagoloan ii
Kapatagan,Mun,2nd,23228.0,kapatagan
Sultan Dumalondong,Mun,5th,12984.0,sultan dumalondong
Lumbaca-Unayan,Mun,5th,8768.0,lumbaca-unayan
Panglima Sugala,Mun,1st,52657.0,panglima sugala
Bongao ,Mun,1st,131887.0,bongao
Mapun,Mun,3rd,29218.0,mapun
Simunul,Mun,2nd,35616.0,simunul
Sitangkai,Mun,1st,42172.0,sitangkai
South Ubian,Mun,2nd,31942.0,south ubian
Tandubas,Mun,1st,34702.0,tandubas
Turtle Islands,Mun,5th,7665.0,turtle islands
Languyan,Mun,1st,41587.0,languyan
Sapa-Sapa,Mun,2nd,37129.0,sapa-sapa
Sibutu,Mun,3rd,38070.0,sibutu
Barira,Mun,2nd,43301.0,barira
Buldon,Mun,1st,45676.0,buldon
City of Cotabato,City,1st,383383.0,cotabato
Datu Blah T. Sinsuat,Mun,3rd,32088.0,datu blah t. sinsuat
Datu Odin Sinsuat,Mun,1st,152907.0,datu odin sinsuat
Kabuntalan,Mun,4th,31863.0,kabuntalan
Matanog,Mun,3rd,41146.0,matanog
Northern Kabuntalan,Mun,4th,30332.0,northern kabuntalan
Parang,Mun,1st,123209.0,parang
Sultan Kudarat,Mun,1st,124965.0,sultan kudarat
Sultan Mastura,Mun,3rd,30828.0,sultan mastura
Talitay,Mun,4th,19750.0,talitay
Upi,Mun,1st,65363.0,upi
Ampatuan,Mun,2nd,31560.0,ampatuan
Buluan,Mun,1st,60931.0,buluan
Datu Abdullah Sangki,Mun,2nd,35274.0,datu abdullah sangki
Datu Anggal Midtimbang,Mun,4th,35243.0,datu anggal midtimbang
Datu Hoffer Ampatuan,Mun,4th,27678.0,datu hoffer ampatuan
Datu Paglas,Mun,3rd,38446.0,datu paglas
Datu Piang,Mun,2nd,31063.0,datu piang
Datu Salibo,Mun,4th,21295.0,datu salibo
Datu Saudi Ampatuan,Mun,4th,33374.0,datu saudi ampatuan
Datu Unsay,Mun,4th,17186.0,datu unsay
Gen. S.K. Pendatun,Mun,2nd,33710.0,gen. s.k. pendatun
Guindulungan,Mun,4th,28471.0,guindulungan
Mamasapano,Mun,4th,32831.0,mamasapano
Mangudadatu,Mun,3rd,28511.0,mangudadatu
Pagagawan,Mun,2nd,42181.0,pagagawan
Pagalungan,Mun,1st,49326.0,pagalungan
Paglat,Mun,4th,21317.0,paglat
Pandag,Mun,4th,29244.0,pandag
Rajah Buayan,Mun,4th,31329.0,rajah buayan
Shariff Aguak,Mun,2nd,37437.0,shariff aguak
Shariff Saydona Mustapha,Mun,4th,29707.0,shariff saydona mustapha
South Upi,Mun,2nd,50018.0,south upi
Sultan Sa Barongis,Mun,3rd*,27929.0,sultan sa barongis
Talayan,Mun,3rd,39182.0,talayan
Kapalawan,Mun,-,29191.0,kapalawan
Old Kaabakan,Mun,-,16181.0,old kaabakan
Kadayangan,Mun,-,26099.0,kadayangan
Nabalawag,Mun,-,25500.0,nabalawag
Pahamuddin,Mun,-,19262.0,pahamuddin
Malidegao,Mun,-,36427.0,malidegao
Ligawasan,Mun,-,28322.0,ligawasan
Tugunan,Mun,-,33721.0,tugunan
