Name,Geographic Level,Income Classification (DOF DO No. 074.2024),2024 Population,Name_Normalized
Agno,Mun,2nd,29270.0,agno
Aguilar,Mun,1st,45363.0,aguilar
City of Alaminos,City,3rd,100430.0,alaminos
Alcala,Mun,1st,49479.0,alcala
Anda,Mun,2nd,42688.0,anda
Asingan,Mun,1st,58349.0,asingan
Balungao,Mun,1st,30678.0,balungao
Bani,Mun,1st,52715.0,bani
Basista,Mun,3rd,37840.0,basista
Bautista,Mun,3rd,35728.0,bautista
Bayambang,Mun,1st,129506.0,bayambang
Binalonan,Mun,1st,56560.0,binalonan
Binmaley,Mun,1st,88006.0,binmaley
Bolinao,Mun,1st,84658.0,bolinao
Bugallon,Mun,1st,76027.0,bugallon
Burgos,Mun,3rd,23240.0,burgos
Calasiao,Mun,1st,100686.0,calasiao
City of Dagupan,City,2nd,174777.0,dagupan
Dasol,Mun,2nd,31842.0,dasol
Infanta,Mun,2nd,26837.0,infanta
Labrador,Mun,3rd,26995.0,labrador
Lingayen ,Mun,1st,108510.0,lingayen
Mabini,Mun,2nd,26589.0,mabini
Malasiqui,Mun,1st,144344.0,malasiqui
Manaoag,Mun,1st,76606.0,manaoag
Mangaldan,Mun,1st,113302.0,mangaldan
Mangatarem,Mun,1st,79648.0,mangatarem
Mapandan,Mun,3rd,38228.0,mapandan
Natividad,Mun,3rd,26721.0,natividad
Pozorrubio,Mun,1st,75143.0,pozorrubio
Rosales,Mun,1st,67510.0,rosales
City of San Carlos,City,2nd,208330.0,san carlos
San Fabian,Mun,1st,87714.0,san fabian
San Jacinto,Mun,1st,44713.0,san jacinto
San Manuel,Mun,1st,56876.0,san manuel
San Nicolas,Mun,1st,40144.0,san nicolas
San Quintin,Mun,2nd,34322.0,san quintin
Santa Barbara,Mun,1st,92420.0,santa barbara
Santa Maria,Mun,2nd,34452.0,santa maria
Santo Tomas,Mun,4th,14894.0,santo tomas
Sison,Mun,1st,51439.0,sison
Sual,Mun,1st,38625.0,sual
Tayug,Mun,1st,45476.0,tayug
Umingan,Mun,1st,78940.0,umingan
Urbiztondo,Mun,1st,56349.0,urbiztondo
City of Urdaneta,City,1st,145935.0,urdaneta
Villasis,Mun,1st,65086.0,villasis
Laoac,Mun,2nd,34550.0,laoac
Basco ,Mun,4th,9647.0,basco
Itbayat,Mun,5th,2937.0,itbayat
Ivana,Mun,5th,1368.0,ivana
Mahatao,Mun,5th,1745.0,mahatao
Sabtang,Mun,5th,1774.0,sabtang
Uyugan,Mun,5th,1466.0,uyugan
Abulug,Mun,2nd,35347.0,abulug
Alcala,Mun,1st,41468.0,alcala
Allacapan,Mun,1st,35946.0,allacapan
Amulung,Mun,1st,50903.0,amulung
Aparri,Mun,1st,68368.0,aparri
Baggao,Mun,1st,90723.0,baggao
Ballesteros,Mun,2nd,34562.0,ballesteros
Buguey,Mun,2nd,32351.0,buguey
Calayan,Mun,1st,18008.0,calayan
Camalaniugan,Mun,3rd,25629.0,camalaniugan
Claveria,Mun,2nd,32997.0,claveria
Enrile,Mun,1st,36481.0,enrile
Gattaran,Mun,1st,59704.0,gattaran
Gonzaga,Mun,1st,41994.0,gonzaga
Iguig,Mun,2nd,31342.0,iguig
Lal-Lo,Mun,1st,48404.0,lal-lo
Lasam,Mun,1st,42042.0,lasam
Pamplona,Mun,3rd,25182.0,pamplona
Peñablanca,Mun,1st,50856.0,peñablanca
Piat,Mun,3rd,25436.0,piat
Rizal,Mun,4th,19577.0,rizal
Sanchez-Mira,Mun,2nd,26292.0,sanchez-mira
Santa Ana,Mun,1st,34595.0,santa ana
Santa Praxedes,Mun,5th,4643.0,santa praxedes
Santa Teresita,Mun,3rd,19476.0,santa teresita
Santo Niño,Mun,1st,29066.0,santo niño
Solana,Mun,1st,89840.0,solana
Tuao,Mun,1st,66147.0,tuao
Tuguegarao City ,City,2nd,167297.0,tuguegarao
Alicia,Mun,1st,74699.0,alicia
Angadanan,Mun,1st,45970.0,angadanan
Aurora,Mun,1st,37191.0,aurora
Benito Soliven,Mun,2nd,30682.0,benito soliven
Burgos,Mun,3rd,26729.0,burgos
Cabagan,Mun,1st,55445.0,cabagan
Cabatuan,Mun,1st,40223.0,cabatuan
City of Cauayan,City,2nd,143539.0,cauayan
Cordon,Mun,1st,46688.0,cordon
Dinapigue,Mun,1st,6116.0,dinapigue
Divilacan,Mun,1st,5871.0,divilacan
Echague,Mun,1st,91320.0,echague
Gamu,Mun,2nd,30850.0,gamu
City of Ilagan ,City,1st,164020.0,ilagan
Jones,Mun,1st,46160.0,jones
Luna,Mun,1st,21015.0,luna
Maconacon,Mun,2nd,4252.0,maconacon
Delfin Albano,Mun,1st,30860.0,delfin albano
Mallig,Mun,1st,32509.0,mallig
Naguilian,Mun,1st,34520.0,naguilian
Palanan,Mun,1st,18091.0,palanan
Quezon,Mun,1st,28376.0,quezon
Quirino,Mun,1st,25205.0,quirino
Ramon,Mun,1st,57412.0,ramon
Reina Mercedes,Mun,1st,28222.0,reina mercedes
Roxas,Mun,1st,66593.0,roxas
San Agustin,Mun,2nd,22228.0,san agustin
San Guillermo,Mun,2nd,21043.0,san guillermo
San Isidro,Mun,3rd,27326.0,san isidro
San Manuel,Mun,2nd,34740.0,san manuel
San Mariano,Mun,1st,61876.0,san mariano
San Mateo,Mun,1st,67433.0,san mateo
San Pablo,Mun,1st,26462.0,san pablo
Santa Maria,Mun,3rd,25919.0,santa maria
City of Santiago,City,1st,150313.0,santiago
Santo Tomas,Mun,3rd,25997.0,santo tomas
Tumauini,Mun,1st,77153.0,tumauini
Ambaguio,Mun,4th,16401.0,ambaguio
Aritao,Mun,1st,45000.0,aritao
Bagabag,Mun,1st,39138.0,bagabag
Bambang,Mun,1st,60146.0,bambang
Bayombong ,Mun,1st,72890.0,bayombong
Diadi,Mun,3rd,20438.0,diadi
Dupax del Norte,Mun,1st,35509.0,dupax del norte
Dupax del Sur,Mun,1st,22388.0,dupax del sur
Kasibu,Mun,1st,46845.0,kasibu
Kayapa,Mun,1st,27865.0,kayapa
Quezon,Mun,1st,25306.0,quezon
Santa Fe,Mun,2nd,18950.0,santa fe
Solano,Mun,1st,69296.0,solano
Villaverde,Mun,4th,21001.0,villaverde
Alfonso Castaneda,Mun,2nd*,8933.0,alfonso castaneda
Aglipay,Mun,2nd,31596.0,aglipay
Cabarroguis ,Mun,1st,34720.0,cabarroguis
Diffun,Mun,1st,58254.0,diffun
Maddela,Mun,1st,41867.0,maddela
Saguday,Mun,4th,17863.0,saguday
Nagtipunan,Mun,1st,26541.0,nagtipunan
Abucay,Mun,2nd,44846.0,abucay
Bagac,Mun,2nd,32799.0,bagac
City of Balanga ,City,2nd,109931.0,balanga
Dinalupihan,Mun,1st,124188.0,dinalupihan
Hermosa,Mun,1st,80557.0,hermosa
Limay,Mun,1st,81960.0,limay
Mariveles,Mun,1st,156200.0,mariveles
Morong,Mun,1st,37024.0,morong
Orani,Mun,1st,72941.0,orani
Orion,Mun,1st,63044.0,orion
Pilar,Mun,2nd,47107.0,pilar
Samal,Mun,2nd,40843.0,samal
Angat,Mun,1st,67862.0,angat
Balagtas,Mun,1st,80221.0,balagtas
City of Baliwag,City,3rd,174194.0,baliwag
Bocaue,Mun,1st,147755.0,bocaue
Bulacan,Mun,1st,83101.0,bulacan
Bustos,Mun,1st,80565.0,bustos
Calumpit,Mun,1st,122187.0,calumpit
Guiguinto,Mun,1st,118173.0,guiguinto
Hagonoy,Mun,1st,136673.0,hagonoy
City of Malolos ,City,1st,269809.0,malolos
Marilao,Mun,1st,263507.0,marilao
City of Meycauayan,City,1st,228023.0,meycauayan
Norzagaray,Mun,1st,140697.0,norzagaray
Obando,Mun,1st,61073.0,obando
Pandi,Mun,1st,162725.0,pandi
Paombong,Mun,2nd,58453.0,paombong
Plaridel,Mun,1st,120939.0,plaridel
Pulilan,Mun,1st,111384.0,pulilan
San Ildefonso,Mun,1st,123140.0,san ildefonso
City of San Jose Del Monte,City,1st,685688.0,san jose del monte
San Miguel,Mun,1st,179792.0,san miguel
San Rafael,Mun,1st,108256.0,san rafael
Santa Maria,Mun,1st,322525.0,santa maria
Doña Remedios Trinidad,Mun,1st,30064.0,doña remedios trinidad
Aliaga,Mun,1st,72134.0,aliaga
Bongabon,Mun,1st,69376.0,bongabon
City of Cabanatuan,City,1st,343672.0,cabanatuan
Cabiao,Mun,1st,89497.0,cabiao
Carranglan,Mun,1st,43694.0,carranglan
Cuyapo,Mun,1st,70919.0,cuyapo
Gabaldon,Mun,1st,40223.0,gabaldon
City of Gapan,City,3rd,129610.0,gapan
General Mamerto Natividad,Mun,2nd,43779.0,general mamerto natividad
General Tinio,Mun,1st,58093.0,general tinio
Guimba,Mun,1st,131468.0,guimba
Jaen,Mun,1st,83895.0,jaen
Laur,Mun,1st,40185.0,laur
Licab,Mun,3rd,29590.0,licab
Llanera,Mun,2nd,44620.0,llanera
Lupao,Mun,2nd,47175.0,lupao
Science City of Muñoz,City,4th,85061.0,science muñoz
Nampicuan,Mun,4th,15297.0,nampicuan
City of Palayan ,City,4th,47883.0,palayan
Pantabangan,Mun,1st,32694.0,pantabangan
Peñaranda,Mun,2nd,33043.0,peñaranda
Quezon,Mun,2nd,42621.0,quezon
Rizal,Mun,1st,71749.0,rizal
San Antonio,Mun,1st,84958.0,san antonio
San Isidro,Mun,1st,55108.0,san isidro
San Jose City,City,2nd,156714.0,san jose
San Leonardo,Mun,1st,69180.0,san leonardo
Santa Rosa,Mun,1st,80258.0,santa rosa
Santo Domingo,Mun,1st,63750.0,santo domingo
Talavera,Mun,1st,137444.0,talavera
Talugtug,Mun,3rd,26469.0,talugtug
Zaragoza,Mun,1st,55657.0,zaragoza
Apalit,Mun,1st,121057.0,apalit
Arayat,Mun,1st,150949.0,arayat
Bacolor,Mun,1st,59361.0,bacolor
Candaba,Mun,1st,124019.0,candaba
Floridablanca,Mun,1st,146095.0,floridablanca
Guagua,Mun,1st,137948.0,guagua
Lubao,Mun,1st,190355.0,lubao
Mabalacat City,City,1st,306594.0,mabalacat
Macabebe,Mun,1st,82933.0,macabebe
Magalang,Mun,1st,133883.0,magalang
Masantol,Mun,1st,57207.0,masantol
Mexico,Mun,1st,187597.0,mexico
Minalin,Mun,2nd,50126.0,minalin
Porac,Mun,1st,147551.0,porac
City of San Fernando ,City,1st,377534.0,san fernando
San Luis,Mun,2nd,64674.0,san luis
San Simon,Mun,1st,65760.0,san simon
Santa Ana,Mun,1st,63431.0,santa ana
Santa Rita,Mun,2nd,42915.0,santa rita
Sto. Tomas,Mun,2nd,44376.0,sto. tomas
Sasmuan,Mun,3rd,32081.0,sasmuan
Anao,Mun,4th,12865.0,anao
Bamban,Mun,1st,81012.0,bamban
Camiling,Mun,1st,91400.0,camiling
Capas,Mun,1st,162724.0,capas
Concepcion,Mun,1st,178549.0,concepcion
Gerona,Mun,1st,97937.0,gerona
La Paz,Mun,1st,71978.0,la paz
Mayantoc,Mun,1st,34091.0,mayantoc
Moncada,Mun,1st,66925.0,moncada
Paniqui,Mun,1st,106190.0,paniqui
Pura,Mun,3rd,27017.0,pura
Ramos,Mun,4th,23808.0,ramos
San Clemente,Mun,4th,13781.0,san clemente
San Manuel,Mun,1st,29693.0,san manuel
Santa Ignacia,Mun,1st,53620.0,santa ignacia
City of Tarlac ,City,1st,401892.0,tarlac
Victoria,Mun,1st,71495.0,victoria
San Jose,Mun,1st,43185.0,san jose
Botolan,Mun,1st,70340.0,botolan
Cabangan,Mun,2nd,29334.0,cabangan
Candelaria,Mun,1st,32182.0,candelaria
Castillejos,Mun,1st,70105.0,castillejos
Iba ,Mun,1st,59580.0,iba
Masinloc,Mun,1st,56579.0,masinloc
Palauig,Mun,1st,43250.0,palauig
San Antonio,Mun,1st,38617.0,san antonio
San Felipe,Mun,3rd,26081.0,san felipe
San Marcelino,Mun,1st,39542.0,san marcelino
San Narciso,Mun,3rd,32180.0,san narciso
Santa Cruz,Mun,1st,66647.0,santa cruz
Subic,Mun,1st,116788.0,subic
Baler ,Mun,1st,44684.0,baler
Casiguran,Mun,1st,26855.0,casiguran
Dilasag,Mun,2nd,17536.0,dilasag
Dinalungan,Mun,3rd,12552.0,dinalungan
Dingalan,Mun,2nd,29286.0,dingalan
Dipaculao,Mun,1st,33597.0,dipaculao
Maria Aurora,Mun,1st,45972.0,maria aurora
San Luis,Mun,1st,30342.0,san luis
City of Angeles,City,1st,483452.0,angeles
City of Olongapo,City,1st,264903.0,olongapo
Agoncillo,Mun,2nd,40662.0,agoncillo
Alitagtag,Mun,4th,28033.0,alitagtag
Balayan,Mun,1st,96939.0,balayan
Balete,Mun,4th,24202.0,balete
Batangas City ,City,1st,358267.0,batangas
Bauan,Mun,1st,94016.0,bauan
City of Calaca,City,3rd,92281.0,calaca
Calatagan,Mun,1st,60420.0,calatagan
Cuenca,Mun,2nd,36453.0,cuenca
Ibaan,Mun,1st,58673.0,ibaan
Laurel,Mun,2nd,44791.0,laurel
Lemery,Mun,1st,94736.0,lemery
Lian,Mun,1st,56788.0,lian
City of Lipa,City,1st,387392.0,lipa
Lobo,Mun,1st,41251.0,lobo
Mabini,Mun,1st,49876.0,mabini
Malvar,Mun,1st,74565.0,malvar
Mataasnakahoy,Mun,3rd,31912.0,mataasnakahoy
Nasugbu,Mun,1st,141063.0,nasugbu
Padre Garcia,Mun,1st,53526.0,padre garcia
Rosario,Mun,1st,131365.0,rosario
San Jose,Mun,1st,81170.0,san jose
San Juan,Mun,1st,115118.0,san juan
San Luis,Mun,3rd,36841.0,san luis
San Nicolas,Mun,4th,24392.0,san nicolas
San Pascual,Mun,1st,69419.0,san pascual
Santa Teresita,Mun,4th,21742.0,santa teresita
City of Sto. Tomas,City,1st,226772.0,sto. tomas
Taal,Mun,1st,61559.0,taal
Talisay,Mun,1st,46477.0,talisay
City of Tanauan,City,1st,209697.0,tanauan
Taysan,Mun,1st,41332.0,taysan
Tingloy,Mun,4th,15866.0,tingloy
Tuy,Mun,2nd,47199.0,tuy
Alfonso,Mun,1st,60583.0,alfonso
Amadeo,Mun,2nd,44190.0,amadeo
City of Bacoor,City,1st,661381.0,bacoor
City of Carmona,City,2nd,112140.0,carmona
City of Cavite,City,4th,98673.0,cavite
City of Dasmariñas,City,1st,744511.0,dasmariñas
General Emilio Aguinaldo,Mun,4th,24264.0,general emilio aguinaldo
