NAME_1,NAME_2,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,Population_2024,PSGC_Match_Info,Distance_from_Metro Manila_km,No_Work_Count
Cagayan,Allacapan,35506,86814,10,1,1,35946,Allacapan,413.396899314748,1
Cagayan,Lal-Lo,37784,58723,18,19,7,48404,Lal-Lo,403.2953378847455,0
Cagayan,Lasam,3740,1780,65,8,1,42042,Lasam,381.93667511232815,0
Cagayan,SantoNiño,4073,143416,11,3,1,29066,Santo Niño,381.360296706781,0
Cagayan,Gattaran,49375,133680,21,1,1,59704,Gattaran,389.8415024929431,0
Cagayan,SantaAna,111731,172166,11,1,1,34595,Santa Ana,449.87516668320217,0
Cagayan,Gonzaga,54830,59517,20,1,1,41994,Gonzaga,427.7065020887413,0
Cagayan,Camalaniugan,30045,14795,17,2,2,25629,Camalaniugan,415.97548747151774,0
Cagayan,Buguey,63603,71717,19,3,1,32351,Buguey,419.41171229251694,0
Cagayan,SantaTeresita,12152,1661,40,2,1,19476,Santa Teresita,414.27265184004193,0
Cagayan,Baggao,17948,16350,37,3,2,90723,Baggao,388.3849767860012,0
Apayao,Conner,7683,2118,55,9,1,28360,Conner,362.95188780460495,0
Cagayan,Rizal,19594,3610,32,7,3,20491,Rizal,369.58289809031817,0
Cagayan,Alcala,8312,8521,15,1,1,49479,Alcala,375.538079265574,0
Cagayan,Piat,5481,16648,17,1,1,25436,Piat,363.4685164023833,0
Cagayan,Amulung,49631,39566,17,1,1,50903,Amulung,363.684218407033,0
Cagayan,Tuao,4081,16978,27,1,1,66147,Tuao,354.76717858985404,0
Kalinga,Pinukpuk,36986,45536,15,1,1,35033,Pinukpuk,341.3363134307122,0
Cagayan,Solana,7403,538,17,1,1,89840,Solana,348.3867474179216,0
Abra,Malibcong,62936,18856,31,1,1,4167,Malibcong,328.46216829548206,0
Kalinga,Balbalan,1912,104,39,1,1,13332,Balbalan,319.7155903972818,0
Kalinga,Pasil,96069,6686,35,5,1,10690,Pasil,304.00747082882714,0
